nearestfips,crmvst,lat,long
1001,632.324453767442,32.4736265734841,-86.6437149615795
1003,507.082259,30.5266405706398,-87.6695970423275
1005,619.502198666667,31.8321324886651,-85.4958840247262
1007,692.846464685714,33.0029275033403,-87.1350459659658
1009,739.274274439024,34.050115835513,-86.5451932620587
1011,642.501802625,32.1539196333669,-85.8768447832695
1013,637.457850133333,31.8247418166917,-86.6812847043076
1015,731.079260631579,33.7961621758533,-85.8397457406346
1017,693.094675142857,32.9478039983005,-85.4856856175419
1019,751.2247111,34.1227985756164,-85.6234908048863
1021,681.215658325581,32.8563333141451,-86.7019434131656
1023,632.827074705882,32.1832358544595,-88.2249546705554
1025,622.445299555556,31.6387789691074,-87.8301113850765
1031,581.905243902439,31.3242899569636,-86.0111273232656
1033,817.712887459459,34.7215155181538,-87.7476686260341
1035,611.188306867925,31.402126523127,-87.0958774125376
1039,592.092023241379,31.3276132392435,-86.453864975473
1041,618.942721411765,31.730046401989,-86.2504002891908
1043,754.34547392,34.1779289622056,-86.8182533854978
1045,572.394092153846,31.3830363925071,-85.5725181391391
1047,629.517921422222,32.3607654913544,-87.1050340619589
1049,744.69260888,34.4252584724482,-85.8999579363989
1051,650.588141435897,32.6340718007065,-86.2133195550025
1053,569.747674782609,31.1182216651356,-87.5079387878289
1055,756.34655083871,34.1130031552047,-86.1102686787104
1057,745.084254083333,33.6980801304577,-87.7698404491021
1059,790.485625230769,34.4822488037591,-87.6674667236126
1061,555.278001463415,31.0987351543254,-85.8192050381263
1063,668.627147238095,32.8368479104583,-87.9230721074651
1065,638.830854333333,32.6468168560809,-87.6384371076394
1067,585.644853875,31.475375034574,-85.2475166501599
1069,563.669584780488,31.1405474102093,-85.3079785974288
1071,813.010083769231,34.7725475105225,-85.9682877724878
1075,751.165185222222,33.7928935496924,-88.1512777016778
1077,786.916580114286,34.9091431914257,-87.4775420917244
1079,782.759733824561,34.5646766551769,-87.2871580115037
1081,673.705556275862,32.4523767358007,-85.4108375666981
1083,777.480269018182,34.8204476219822,-86.9843332398913
1085,616.526396487805,32.187939984951,-86.6189960202762
1087,645.374855368421,32.4347925611043,-85.719638530187
1089,777.384917886792,34.783140968062,-86.5347721656078
1091,656.906970526316,32.3339042188587,-87.7362534208647
1093,793.603945909091,34.2935336052299,-87.9656295812079
1095,756.483059263158,34.3570795477369,-86.3514934473403
1097,576.340988390244,30.72195230558,-88.2356815182321
1099,582.282766166667,31.4113280383255,-87.4321809298177
1101,632.855167666667,32.2138306127766,-86.2235935946093
1103,768.16721112,34.4516615152524,-86.8614890817219
1105,655.95477337931,32.5035065516197,-87.3875907433206
1107,696.49865975,33.1918495132501,-88.1802104055899
1109,599.127579675676,31.7344038315845,-85.9167736573522
1111,714.613750577778,33.4038233751832,-85.4189894121665
1113,655.003099619048,32.3192932002091,-85.2330305950342
1115,746.205959166667,33.7817014729423,-86.3126308898158
1117,690.331563642857,33.2733108589375,-86.4652365427548
1119,608.874854051282,32.7119909832665,-88.2735993631916
1121,711.509724540541,33.4505499801803,-86.0009959933798
1123,664.027526142857,32.6517555919528,-85.8401833242709
1125,707.35725044898,33.2201632797328,-87.6270663232407
1127,728.57590916129,33.8473722059612,-87.15589618425
1129,610.02129831579,31.6652993226692,-88.3219330457044
1131,622.430590358974,32.0290240634327,-87.3616881877029
1133,784.297904869565,34.178554594493,-87.545824254942
4003,260.465218909091,32.0050682504535,-109.695199021122
4005,255.382785333333,37.5204381591999,-112.486172057413
4009,142.256406,32.8031386409034,-109.812726552427
4011,301.995886666667,32.7599683163658,-109.111294697371
4012,61.3818952651515,33.7682232893669,-114.401011377645
4013,129.547381960784,33.3270088851244,-112.650608227637
4015,81.108477,34.8890776272706,-114.586512707299
4019,191.860116571429,32.4199269617103,-111.276473653546
4021,142.730467938931,32.9220387842368,-111.699143431865
4025,321.114892,34.6717843488684,-112.541508158225
4027,17.2406542719615,32.7040500082535,-114.310360719234
5001,737.280255714286,34.312176445716,-91.3777277590356
5003,678.100290074074,33.1910849758565,-91.5333524617191
5005,955.000489571429,36.8779770020529,-92.5973676353105
5007,896.016212137931,36.3140798523994,-94.3222343324005
5011,726.726680516129,33.4738268281403,-92.097568354739
5013,734.501168333333,33.5134864175917,-92.4852812760197
5017,705.187090666667,33.2714422484658,-91.1686643418801
5019,797.551992333333,34.0812022482536,-93.1551465916995
5021,919.252520578947,36.4727713949086,-90.4066456970354
5023,863.101198588235,35.49827889016,-91.936761373202
5025,761.608660307692,33.8636738996331,-92.023986867208
5027,725.115177,33.2207316392435,-93.2491808369965
