fips,variety,tot_ha,prod_Mt,yield_Mg_per_ha,initSOC_MgC_per_ha,SOC_MgC_per_ha,dSOC_MgC_per_ha,dN2ON_kgN_per_ha,iN2ON_kgN_per_ha,kgCH4_ox_per_ha,ghg_MgCO2e_per_ha,volit_kgN_per_ha,leached_kgN_per_ha,annual_precip_cm,leach_volit_frac,yield_Mg_per_ha_std,yield_Mg_per_ha_cov,SOCgain_MgC_per_ha
01001,base,31214.547584000018,0.6779657635678309,21.71954476493337,15.861821502520899,32.230748000497016,-0.11674271681584746,1.2723016635596132,0.44595397800068515,1.7914509260956482,1.0929759101048755,11.806342141196234,41.76240007486817,130.09783833489396,0.714249896214192,2.663855787853708,0.12264786470822146,16.36892649797612
01003,base,19794.098715999993,0.42695298541855803,21.569710828684638,14.308915819237018,28.110491749144234,-0.12349346085871331,1.1610682884865853,0.50292839779086,1.580145531387152,1.1010372186693007,11.681392784223144,49.53360982359283,147.28766563508165,0.8162000347708799,1.6750398658615095,0.07765703857438577,13.801575929907216
01005,base,34348.74118999998,0.773866676956413,22.52969541666087,15.007399921900102,31.356353635965537,-0.12429247692293265,1.2141205826574542,0.4323895366888582,1.8737337571349708,1.0884639721582512,12.272411572039696,39.243420611749315,122.782059833636,0.6868777624505201,2.6264684073416205,0.11657806991031615,16.348953714065434
01007,base,6070.472826999993,0.1370771586765471,22.58096899254058,18.788108401255798,37.596496588802474,-0.0935923651756074,1.1487417746058601,0.42233858912533245,1.848572344057949,0.9452768197203769,12.207028651813076,37.7485339741182,134.508489477541,0.6660741683457504,2.134988050956911,0.09454811490428888,18.808388187546676
01009,base,27967.981921999977,0.6116340391704769,21.86908018162574,27.97360635361347,48.70547198216657,-0.03964094830983425,1.1368018989781816,0.4012565942357946,1.8719209405601962,0.7331935022904303,11.819390646777277,35.39520167001861,130.47630441917295,0.6295278975572786,2.363255995416913,0.10806380404615762,20.731865628553102
01011,base,23321.434390000028,0.5423360593892907,23.254832885486618,23.513635394709244,42.74449940869592,-0.0848470265047823,1.9201743304159273,0.3686909242571851,1.6909315136777685,1.2164923627070328,12.54460428627706,30.262416808342472,126.59908127838683,0.5707602812615937,2.1913644373759467,0.09423264609841944,19.23086401398668
01013,base,25145.030838000006,0.5756712142156084,22.894034925804704,17.06430232585269,34.131255670057385,-0.11794034952166879,1.23209210070523,0.43520278280834573,1.9027092979983813,1.0730316942477682,12.380484652670136,39.71686724909307,139.98172395631067,0.6946313586901762,1.964416730394421,0.08580474070039333,17.066953344204695
01015,base,20717.06502199999,0.44470855740041837,21.465808835767547,27.070110698876984,49.14057146242033,-0.02416671872549969,1.4472705219410773,0.3885873724212666,1.9488397088189593,0.7983281286404893,11.575337088560019,33.36980835662549,123.94164928581047,0.5992686059358068,2.1212261467690667,0.0988188315193863,22.07046076354335
01017,base,20492.71156800003,0.46851449571793213,22.862494021998113,33.458895967893085,42.39013782525721,-0.12329670708142346,1.3614122830508384,0.4399105452011355,1.7277597810435361,1.1533579401610201,12.290253534482336,38.868874692239956,123.0461327202719,0.6821217096896305,2.121935721357461,0.0928129590461894,8.931241857364128
01019,base,28604.424443,0.6142161371910991,21.472766858674145,25.859282115962973,47.15378574993789,-0.040557384255914514,1.3910784630561075,0.38922634031924114,1.8301919447959067,0.8385774495745254,11.575142925394466,33.31439969912421,125.92336703264071,0.5985272349935822,2.1135345520855795,0.09842860801293501,21.294503633974916
01021,base,28031.42743299998,0.6408312270329629,22.86116996948019,20.07238695395164,39.80233175040615,-0.08203759039216506,1.127255096062062,0.4312589762501854,1.7639155492225052,0.900077952666148,12.365375532645004,38.25407146102329,130.73520045793018,0.6749259599155774,2.1270778181611814,0.09304326160913216,19.729944796454507
01023,base,2711.4363679999997,0.06399103918863651,23.600420774704492,19.61461633150422,39.47390930153,-0.09625531071238054,1.317377604755833,0.434985965708018,1.7380986355399533,1.0336033433909697,12.729735157267019,39.3365947779277,143.45255141646362,0.6942177324692627,1.7341243532342723,0.07347853539513792,19.85929297002578
01025,base,5586.869081999999,0.12593276915831972,22.540848426904255,15.910932541303278,32.82321318559265,-0.0847232406350231,1.139695659176823,0.4408564711040783,1.702429611034642,0.9208153378150653,12.218779257136603,40.411705182614085,138.1670927200257,0.7017397925300092,2.205653421267117,0.09785139314607601,16.91228064428937
01027,base,9535.047014000005,0.20735503778202838,21.746619337857044,28.62859091477787,39.425617439310926,-0.11496829732923813,1.4094078397764092,0.42850896454332266,1.9276262499278671,1.1324815648067905,11.722062155233218,38.4592449545801,128.5723279336325,0.6690840947975109,2.928492720204794,0.13466427469518458,10.797026524533056
01029,base,12712.445051999997,0.27620291105384537,21.72696990421928,30.17157131204156,43.19349099946977,-0.09233256765921956,1.2563412455502114,0.4124411021772022,1.8778209582240908,0.9805194670871807,11.749285671444975,36.78688662306531,124.34408298141147,0.6471489639268037,2.6260439724264057,0.12086563308197153,13.021919687428213
01031,base,40101.382495000005,0.9614150652532002,23.97461148310968,16.552032880763882,33.1436004150103,-0.1290278121716131,1.2483150385977533,0.4605562853953963,1.8719225436937936,1.131828907063597,12.97265656451376,41.7449850355046,136.1017739046322,0.7295685546669114,2.217111525932529,0.09247747466083041,16.591567534246416
01033,base,25244.092136999974,0.573289731579905,22.70985735865068,27.685224870947224,48.98901401730244,-0.035855897919789936,1.6193600968934823,0.3790717556556881,1.8289223066525153,0.9122022460826841,12.15968791264543,31.78670622145878,129.3903207685766,0.5859519217880564,1.2892373720113879,0.056769945827963963,21.303789146355214
