fips,variety,tot_ha,prod_Mt,yield_Mg_per_ha,initSOC_MgC_per_ha,SOC_MgC_per_ha,dSOC_MgC_per_ha,dN2ON_kgN_per_ha,iN2ON_kgN_per_ha,kgCH4_ox_per_ha,ghg_MgCO2e_per_ha,volit_kgN_per_ha,leached_kgN_per_ha,annual_precip_cm,leach_volit_frac,yield_Mg_per_ha_std,yield_Mg_per_ha_cov,SOCgain_MgC_per_ha
01001,base,31214.547584000018,0.6696757919834143,21.45396437931004,15.861821502520899,33.34817620964358,-0.14518284155616148,1.2665442551295882,0.44093799454216254,1.8344086115448541,1.1914939289873026,11.630172197796396,41.22252962018948,126.38466567544775,0.7047026909064782,2.9671790222095327,0.13830446297706386,17.486354707122686
01003,base,19794.098715999993,0.42831417863450816,21.63847845662668,14.308915819237018,29.382645672729463,-0.15927780603134242,1.159341913300614,0.4895244841126491,1.6354952077723277,1.2243039455895683,11.695586078829269,47.68096971982897,142.6066668711042,0.7916874106487765,2.146405061441895,0.09919389968866174,15.073729853492445
01005,base,34348.74118999998,0.7563854242535057,22.02076111230866,15.007399921900102,32.449581765175964,-0.1618731063826373,1.2172731259493832,0.4215342402569429,1.9263743818561434,1.2214806479821847,11.97469345444733,38.12260085307266,118.4209935162659,0.6679639241002666,3.2781146662663283,0.1488647304036191,17.44218184327586
01007,base,6070.472826999993,0.13629998022293158,22.452942976155356,18.788108401255798,38.63222889192704,-0.1110363874988083,1.1260951126272651,0.41099588633135803,1.88575378830291,0.9940003990030992,12.108086505591315,36.31825528701785,131.63642746276957,0.6456845572347891,2.4740648452750458,0.11018888917601852,19.844120490671244
01009,base,27967.981921999977,0.6084116914470278,21.75386458500401,27.97360635361347,49.639504291509205,-0.04641933665400171,1.0906996404469764,0.385526726884895,1.906895765836226,0.7313072151528056,11.729185727283127,33.42015132011685,126.23370556062842,0.6019911606319998,2.6160562477518092,0.12025708064557794,21.665897937895735
01011,base,23321.434390000028,0.5342898925256744,22.90982122243615,23.513635394709244,43.801303082616904,-0.11123876721744781,1.8973415484046938,0.35186229594484336,1.7320052488073645,1.2955303975857717,12.339527696928915,28.231539064008324,121.85522731775369,0.5409475568124967,2.6376480318711732,0.11513175970522457,20.28766768790766
01013,base,25145.030838000006,0.5641877451412018,22.437345524690414,17.06430232585269,35.241105050980416,-0.15033635046339291,1.2257758740495805,0.4202770396588115,1.9531497902500177,1.1814762304785569,12.125792132505225,38.01719590462407,134.38836665980534,0.6685731738283904,2.7250149419284506,0.12144997004791858,18.176802725127725
01015,base,20717.06502199999,0.44593759374392417,21.525133664945866,27.070110698876984,49.98800850808517,-0.03109264821114423,1.4070988018748234,0.3745014009424762,1.978970615773496,0.8002716365210814,11.57166724988248,31.485640045557634,120.6247245297411,0.5740974306058682,2.3892975642602585,0.11100035899666816,22.91789780920819
01017,base,20492.71156800003,0.46799984214225443,22.83738004067016,33.458895967893085,43.3008076965869,-0.1433868842238481,1.354694257276778,0.4281321752861495,1.7690857512290883,1.2181115332846328,12.242547671712538,37.272949605537065,118.7623023274976,0.6602066303633282,2.285134200710928,0.10006113646317685,9.841911728693816
01019,base,28604.424443,0.6117273960632171,21.38576139793358,25.859282115962973,48.02586278328246,-0.0496068106832076,1.3519359320072228,0.3702736440017415,1.8708444694752764,0.8464092351556248,11.501227764561538,30.806919999633667,120.60772133349619,0.564108636855936,2.392081808099903,0.11185394635194237,22.16658066731949
01021,base,28031.42743299998,0.6389503867634054,22.794072413565388,20.07238695395164,40.92790635760782,-0.10050884797728107,1.1132924893591536,0.42078414837274075,1.8010841425747273,0.9565426247297735,12.292668118578108,36.923591524039146,127.6742834092492,0.6562167952348966,2.3497780605628114,0.10308724206580974,20.855519403656178
01023,base,2711.4363679999997,0.0626565011838798,23.108232198750166,19.61461633150422,40.5990529786493,-0.12026531867635996,1.2919493464738114,0.4214424140284712,1.7904061876533457,1.1038871351727793,12.448159062914167,37.857251025081155,138.75934072584252,0.6707388011732711,2.6190724049845753,0.11333936678748756,20.984436647145078
01025,base,5586.869081999999,0.12031708963528032,21.535691613559152,15.910932541303278,34.03150831292011,-0.12297589327556929,1.1158604750090046,0.4299261399368007,1.7945542978839875,1.0439213883912553,11.681590051720082,39.579698122697586,131.2329680040192,0.6834838423255688,3.8281606325966417,0.1777588898137073,18.12057577161683
01027,base,9535.047014000005,0.20811532340873062,21.826355245355547,28.62859091477787,40.374638298025886,-0.1337683948109542,1.412076449426497,0.4199963773819326,1.9572982229672602,1.1981022944681232,11.726409571069311,37.286761053252036,125.61555048628884,0.6535089416576181,3.0647611871924134,0.1404156192245871,11.746047383248015
01029,base,12712.445051999997,0.2759111183281056,21.704016591575954,30.17157131204156,44.115372955965675,-0.10651283052418077,1.2325580620445007,0.3990957116422257,1.917075962094357,1.0159193937495141,11.704955646873666,34.99631658260605,120.52247186185095,0.6226836297263963,2.8090038233032213,0.12942322502616813,13.943801643924115
01031,base,40101.382495000005,0.9339177671693661,23.28891696653628,16.552032880763882,34.26528581697369,-0.16350321215956837,1.250899044419817,0.445973896989452,1.9438085302993133,1.2511405149119288,12.594058134942237,40.239468719360445,129.16500424021424,0.7044470247240358,3.3886981818979014,0.14550690299454902,17.713252936209805
01033,base,25244.092136999974,0.5764161445699505,22.83370467203706,27.685224870947224,49.816316076606405,-0.03535390502374112,1.5815836717948133,0.3671191227555168,1.8494070340927058,0.8890849758066192,12.180804181165557,30.1961262752176,126.72353069784769,0.565025739418442,1.7413397291927173,0.07626181358670289,22.13109120565918
